"","asin","asin_2","title_lower","chr_len_dynamic","real_name_norm","real_name_chr_len","is_the_same","need_fix","X..i.."
"1","B09BHV4DWG","B09BHV4DWG","bellissima imetec air wonder, spazzola ad aria calda, tecnologia a ioni, spazzole rivestite in ceramica e cheratina, asciuga, dona volume, 8 accessori, 1000 w","158","0","1","FALSE","Fix Me Please My Lord",NA
"2","B082WSYYCX","B082WSYYCX",NA,NA,"0","1",NA,NA,NA
"3","B082WSZXHB","B082WSZXHB",NA,NA,"0","1",NA,NA,NA
"4","B072MSQDQG","B072MSQDQG",NA,NA,"0","1",NA,NA,NA
"5","B00RP0J7AW","B00RP0J7AW","bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole","147","0","1","FALSE","Fix Me Please My Lord",NA
"6","B079FN8N4T","B079FN8N4T",NA,NA,"0","1",NA,NA,NA
"7","B0BQC5XRMF","B0BQC5XRMF","bellissima imetec ceramic & argan oil 6in1, spazzola ad aria calda, 6 accessori, ionizzatore, spazzole rivestite in ceramica e olio di argan, asciuga, volumizza, colpo aria fredda, 1000 w, idea regalo","200","0","1","FALSE","Fix Me Please My Lord",NA
"8","B09CTY5P2L","B09CTY5P2L",NA,NA,"0","1",NA,NA,NA
"9","B00HLUUNOK","B00HLUUNOK","bellissima imetec creativity b15 50 piastra per capelli, styling liscio o mosso, rivestimento in nanoceramica, regolazione della temperatura da 140°c a 230°c, piastre oscillanti","177","0","1","FALSE","Fix Me Please My Lord",NA
"10","B075RGG4Y5","B075RGG4Y5",NA,NA,"0","1",NA,NA,NA
"11","B00VYLJ4H4","B00VYLJ4H4","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","177","0","1","FALSE","Fix Me Please My Lord",NA
