"","SKU PRODOTTO","ASIN LIVE AMAZON","ASIN FORNITO TENACTA","L'ASIN LIVE SU AMAZON è UGUALE ALL'ASIN FORNITO TENACTA?","NOME PRODOTTO LIVE AMAZON","LUNGHEZZA NOME PRODOTTO LIVE SU AMAZON","NOME PRODOTTO UFFICIALE FORNITO DA TENACTA","LUNGHEZZA NOME PRODOTTO FORNITO DA TENACTA","IL NOME PRODOTTO LIVE AMAZON è UGUALE AL NOME PRODOTTO UFFICIALE TENACTA?","LA LUNGHEZZA DEL NOME PRODOTTO LIVE AMAZON è UGUALE ALLA LUNGHEZZA DEL NOME UFFICIALE TENACTA?","QUESTO ASIN RICHIEDE UNA CORREZIONE"
"1","imetec scaldasonno singolo 150x80 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","B0056BZZDA","B0056BZZDA",TRUE,"0","1","NEED FIX","NEED FIX",137,"TRUE","NEED FIX"
"6","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo daria fredda","B00G3DNXIE","B00G3DNXIE",TRUE,"0","1","TRUE","TRUE",146,"TRUE","NEED FIX"
"11","imetec scaldasonno sensitive singolo, si adatta ai cambi di temperatura, morbido peluche, coprimaterasso maxi 190 x 90, electro block, 6 temperature, timer, risparmio energetico, lavabile","B00M975Z7K","B00M975Z7K",TRUE,"0","1","NEED FIX","NEED FIX",187,"TRUE","NEED FIX"
"12","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso daria/temperatura, puntale antiscottatura","B00N4K5PDK","B00N4K5PDK",TRUE,"0","1","TRUE","TRUE",177,"TRUE","NEED FIX"
"16","bellissima imetec gt15 100 arricciacapelli, ricci brillanti e definiti, diametro 19 mm, rivestimento in ceramica, riscaldamento rapido, pronto alluso","B00VRGPXF8","B00VRGPXF8",TRUE,"0","1","TRUE","TRUE",149,"TRUE","NEED FIX"
"17","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","B00VYLJ4H4","B00VYLJ4H4",TRUE,"0","1","TRUE","TRUE",177,"TRUE","NEED FIX"
"21","imetec hb3 frullatore a immersione, gambo large estraibile, lame in acciaio inox, funzionamento a impulsi, 450 w","B01JOL22Y2","B01JOL22Y2",TRUE,"0","1","TRUE","TRUE",112,"TRUE","NEED FIX"
"24","bellissima my pro imetec beach waves gt20 100 piastra per capelli a onde larghe e strette, rivestimento in ceramica, temperatura regolabile","B06WGV3DBP","B06WGV3DBP",TRUE,"0","1","TRUE","TRUE",139,"TRUE","NEED FIX"
"30","bellissima imetec gt15 200 ferro arricciacapelli con rivestimento in ceramica, forma conica, controllo della temperatura","B075RFR2CV","B075RFR2CV",TRUE,"0","1","TRUE","TRUE",120,"TRUE","NEED FIX"
"31","bellissima imetec creativity b27 100 piastra per capelli con rivestimento in ceramica e controllo della temperatura, temperatura regolabile 150°c / 230°c","B075RGG4Y5","B075RGG4Y5",TRUE,"0","1","TRUE","TRUE",153,"TRUE","NEED FIX"
"32","imetec succovivo pro 2000 estrattore di succo professionale a freddo, spremitura lenta 48 giri/min, 2 filtri per succhi, accessorio per granite e sorbetti, kit per maschere bellezza, con ricettario","B076998CD8","B076998CD8",TRUE,"0","1","TRUE","TRUE",197,"TRUE","NEED FIX"
"33","imetec bw03 boule elettrica cordless, tecnologia ceramica, riscaldamento ultrarapido, termostato di sicurezza, spia di ricarica","B078RL1X78","B078RL1X78",TRUE,"0","1","NEED FIX","NEED FIX",127,"TRUE","NEED FIX"
"38","bellissima imetec magic straight brush pb11 100 spazzola elettrica lisciante, 3 lati esterni riscaldati, spegnimento automatico, tecnologia a ioni, ceramica, 160 c°- 210°c","B07FYHM3QY","B07FYHM3QY",TRUE,"0","1","TRUE","TRUE",171,"TRUE","NEED FIX"
"40","bellissima my pro imetec ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, 2300 w","B07JVLQ38M","B07JVLQ38M",TRUE,"0","1","TRUE","TRUE",129,"TRUE","NEED FIX"
"44","imetec zerocalc z1 2800 ferro da stiro con tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, tecnologia a risparmio energetico, 2200 w, colpo vapore 130 g","B07PPC54RD","B07PPC54RD",TRUE,"0","1","TRUE","TRUE",168,"TRUE","NEED FIX"
"46","bellissima imetec my pro creativity infrared b8 200, piastra lisciante, tecnologia raggi infrarossi, rivestimento in ceramica e cheratina, 11 livelli di temperatura da 130 °c a 230 °c, cavo 1,8 m","B07S5L9937","B07S5L9937",TRUE,"0","1","TRUE","TRUE",195,"TRUE","NEED FIX"
"47","imetec zerocalc kf1 100 kit 3 filtri anticalcare per ferri da stiro imetec zerocalc pro ceramic ps2 2400, ps2 2000, ps2 2200, intellivapor ps3 3000, imetec onda, ricambi originali","B07S61V42S","B07S61V42S",TRUE,"0","1","TRUE","TRUE",179,"TRUE","NEED FIX"
"50","bellissima my pro imetec gh18 1100 modellatore ad aria, rivestimento spazzole in ceramica, 5 accessori per realizzare capelli lisci e luminosi, a onde morbide o ricci stretti, 1000 w","B07W3VJQZD","B07W3VJQZD",TRUE,"0","1","TRUE","TRUE",182,"TRUE","NEED FIX"
"53","imetec eco se9 1000 asciugacapelli con tecnologia eco technology 1400 w, consumo energetico ridotto, 8 combinazioni aria/temperatura, diffusore per capelli ricci","B07Y8DHN3F","B07Y8DHN3F",TRUE,"0","1","TRUE","TRUE",161,"TRUE","NEED FIX"
"55","imetec scaldasonno adapto piazza e mezza 150 x 120 cm, tecnologia brevettata, riscaldamento rapido, temperatura costante e personalizzata, 100 % cotone, comando con 6 temperature","B07Y8FDGDQ","B07Y8FDGDQ",TRUE,"0","1","NEED FIX","NEED FIX",178,"TRUE","NEED FIX"
"56","imetec scaldasonno adapto singolo 150 x 80 cm, riscaldamento rapido, temperatura costante e personalizzata, tessuto trapuntato anallergico, comando con 6 temperature","B07Y8FZ6GJ","B07Y8FZ6GJ",TRUE,"0","1","NEED FIX","NEED FIX",165,"TRUE","NEED FIX"
"60","imetec scaldasonno adapto matrimoniale, 150x160, riscaldamento rapido, temperatura costante e personalizzata, tessuto trapuntato anallergico, comando con 6 temperature","B07Y8GQVND","B07Y8GQVND",TRUE,"0","1","NEED FIX","NEED FIX",167,"TRUE","NEED FIX"
"62","bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso daria temperatura, diffusore capellli ricci","B082WSYYCX","B082WSYYCX",TRUE,"0","1","TRUE","TRUE",193,"TRUE","NEED FIX"
"64","imetec zero-glu pro, macchina per pane, ciabatte e panini senza glutine per celiaci, pasta pizza, dolci, marmellate, 20 programmi, 2 pale impastatrici, temperatura levitazione controllata, ricettario","B0848JZ6KP","B0848JZ6KP",TRUE,"0","1","TRUE","TRUE",199,"TRUE","NEED FIX"
"66","imetec scaldasonno adapto maxi coprimaterasso matrimoniale 195x165 cm, riscaldamento rapido, temperatura costante e personalizzata, tessuto anallergico trapuntato, doppio comando, 6 temperature","B08HR23S41","B08HR23S41",TRUE,"0","1","NEED FIX","NEED FIX",193,"TRUE","NEED FIX"
"68","imetec onda p2 ferro da stiro generatore di vapore, piastra a onde scorrevole brevettata, 2400w, colpo vapore 300 g, serbatoio 2,5l, 3 filtri con ioni di argento, tecnologia no stop vapor","B08HS61FJ5","B08HS61FJ5",TRUE,"0","1","TRUE","TRUE",187,"TRUE","NEED FIX"
"70","bellissima my pro imetec gt22 120, accessorio sculpted curls per styler arricciacapelli twist & style, ferro riscaldato da 11 mm, rivestimento in ceramica, temperatura 185°c","B08J8XCSH4","B08J8XCSH4",TRUE,"0","1","TRUE","TRUE",173,"TRUE","NEED FIX"
"73","imetec adapto velvet tartan plaid riscaldabile, coperta elettrica 160x120 cm tessuto morbido, tecnologia adapto, dispositivo di sicurezza, rapido riscaldamento, 6 temperature, lavabile in lavatrice","B08J8XJHNM","B08J8XJHNM",TRUE,"0","1","NEED FIX","NEED FIX",197,"TRUE","NEED FIX"
"74","imetec scaldasonno adapto maxi coprimaterasso matrimoniale 195 x 165 cm, riscaldamento rapido, temperatura costante e personalizzata, 100% lana e merino, doppio comando, 6 temperature","B08J8XMFQN","B08J8XMFQN",TRUE,"0","1","NEED FIX","NEED FIX",183,"TRUE","NEED FIX"
"76","bellissima my pro imetec gt22 110, accessorio soft curls per styler arricciacapelli twist & style, ferro riscaldato da 25 mm, rivestimento in ceramica, temperatura 185°c","B08J8XNFNC","B08J8XNFNC",TRUE,"0","1","TRUE","TRUE",169,"TRUE","NEED FIX"
"77","imetec adapto velvet square plaid riscaldabile, coperta elettrica 150x95 cm tessuto morbido, tecnologia adapto, dispositivo di sicurezza, rapido riscaldamento, 6 temperature, lavabile in lavatrice","B08J8Z15M1","B08J8Z15M1",TRUE,"0","1","NEED FIX","NEED FIX",196,"TRUE","NEED FIX"
"82","imetec griglia&gusta bistecchiera, piastre antiaderenti removibili, rivestimento triplo strato al titanio stone-look, grill con 7 posizioni, 3 funzioni di cottura, thermo control, 2000 watt","B08JV8FFYH","B08JV8FFYH",TRUE,"0","1","TRUE","TRUE",189,"TRUE","NEED FIX"
"83","imetec tostamaxi tostapane, 2 fessure extralarge e pinze apribili per toast extrafarciti, 10 livelli di doratura, timer con autospegnimento, cassetto raccoglibriciole, 600 w","B08JV8L49M","B08JV8L49M",TRUE,"0","1","TRUE","TRUE",173,"TRUE","NEED FIX"
"84","imetec la tostagriglia, tostiera, piastre xl rigate e antiaderenti, interruttore on/off, spia riscaldamento piastre, gancio chiusura, avvolgicavo, tostapane compatto, 900 w","B08JV9LX42","B08JV9LX42",TRUE,"0","1","TRUE","TRUE",172,"TRUE","NEED FIX"
"86","imetec crea&crema sbattitore elettrico, fruste extralunghe per impasti dolci e panna montata, ganci acciaio inox per impastare, 5 velocità, funzione turbo, design ergonomico, 500 w","B08JVC7VB4","B08JVC7VB4",TRUE,"0","1","TRUE","TRUE",180,"TRUE","NEED FIX"
