"","SKU PRODOTTO","ASIN LIVE AMAZON","ASIN FORNITO TENACTA","L'ASIN LIVE SU AMAZON è UGUALE ALL'ASIN FORNITO TENACTA?","NOME PRODOTTO LIVE AMAZON","LUNGHEZZA NOME PRODOTTO LIVE SU AMAZON","NOME PRODOTTO UFFICIALE FORNITO DA TENACTA","LUNGHEZZA NOME PRODOTTO FORNITO DA TENACTA","IL NOME PRODOTTO LIVE AMAZON è UGUALE AL NOME PRODOTTO UFFICIALE TENACTA?","LA LUNGHEZZA DEL NOME PRODOTTO LIVE AMAZON è UGUALE ALLA LUNGHEZZA DEL NOME UFFICIALE TENACTA?","QUESTO ASIN RICHIEDE UNA CORREZIONE"
"3","bellissima imetec face cleansing spazzola per pulizia viso, deterge ed esfolia la pelle del viso","B009E7CBIY","B009E7CBIY",TRUE,"0","1","TRUE","TRUE",96,"TRUE","NEED FIX"
"5","imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico","B00FM266R2","B00FM266R2",TRUE,"0","1","TRUE","TRUE",200,"TRUE","NEED FIX"
"11","imetec scaldasonno sensitive singolo, si adatta ai cambi di temperatura, morbido peluche, coprimaterasso maxi 190 x 90, electro block, 6 temperature, timer, risparmio energetico, lavabile","B00M975Z7K","B00M975Z7K",TRUE,"0","1","NEED FIX","NEED FIX",187,"TRUE","NEED FIX"
"12","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso daria/temperatura, puntale antiscottatura","B00N4K5PDK","B00N4K5PDK",TRUE,"0","1","TRUE","TRUE",177,"TRUE","NEED FIX"
"14","bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole","B00RP0J7AW","B00RP0J7AW",TRUE,"0","1","TRUE","TRUE",147,"TRUE","NEED FIX"
"18","bellissima imetec creativity b9 400 piastra per capelli, styling liscio o mosso, rivestimento in ceramica e cheratina, piastre arrotondate","B015O6A68K","B015O6A68K",TRUE,"0","1","TRUE","TRUE",138,"TRUE","NEED FIX"
"19","bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci","B015O6A6GM","B015O6A6GM",TRUE,"0","1","TRUE","TRUE",178,"TRUE","NEED FIX"
"25","bellissima imetec intellisense b24 100 piastra per capelli lisci e mossi a 60° c in meno con tecnologia intellistyle, rivestimento in ceramica, 5 livelli di temperatura","B06WP9PPT6","B06WP9PPT6",TRUE,"0","1","NEED FIX","NEED FIX",168,"TRUE","NEED FIX"
"26","imetec personal e sport blender pb 100 mini frullatore con 2 bottiglie take-away in tritan e 4 lame in acciaio inox, 22,000 giri/min","B0711KBY99","B0711KBY99",TRUE,"0","1","TRUE","TRUE",132,"TRUE","NEED FIX"
"27","imetec sm 1000 soup maker, cuoce e frulla, 3 programmi automatici, vellutate, zuppe e frullati, 6 porzioni, lame seghettate acciaio inox, con ricettario, 900 w, 1.6 litri","B071451JHC","B071451JHC",TRUE,"0","1","TRUE","TRUE",170,"TRUE","NEED FIX"
