"","asin","asin_2","title_lower","chr_len_dynamic","real_name_norm","real_name_chr_len","is_the_same","need_fix","X..i.."
"1","B09BHV4DWG","B09BHV4DWG","bellissima imetec air wonder, spazzola ad aria calda, tecnologia a ioni, spazzole rivestite in ceramica e cheratina, asciuga, dona volume, 8 accessori, 1000 w","158","0","1","FALSE","Fix Me Please My Lord",NA
"2","B082WSYYCX","B082WSYYCX",NA,NA,"0","1",NA,NA,NA
"3","B082WSZXHB","B082WSZXHB",NA,NA,"0","1",NA,NA,NA
"4","B072MSQDQG","B072MSQDQG",NA,NA,"0","1",NA,NA,NA
"5","B00RP0J7AW","B00RP0J7AW",NA,NA,"0","1",NA,NA,NA
"6","B079FN8N4T","B079FN8N4T",NA,NA,"0","1",NA,NA,NA
"7","B0BQC5XRMF","B0BQC5XRMF",NA,NA,"0","1",NA,NA,NA
"8","B09CTY5P2L","B09CTY5P2L",NA,NA,"0","1",NA,NA,NA
"9","B00HLUUNOK","B00HLUUNOK",NA,NA,"0","1",NA,NA,NA
"10","B075RGG4Y5","B075RGG4Y5",NA,NA,"0","1",NA,NA,NA
"11","B00VYLJ4H4","B00VYLJ4H4",NA,NA,"0","1",NA,NA,NA
"12","B015O6A68K","B015O6A68K",NA,NA,"0","1",NA,NA,NA
"13","B09ZJ9QXZY","B09ZJ9QXZY","bellissima imetec creativity ceramic & tourmaline, piastra per capelli, liscio o mosso, rivestimento in ceramica e tormalina, regolazione temperatura da 150-230°c, riscaldamento rapido","184","0","1","FALSE","Fix Me Please My Lord",NA
"14","B01N55NF5G","B01N55NF5G",NA,NA,"0","1",NA,NA,NA
"15","B0BFBDBJK2","B0BFBDBJK2",NA,NA,"0","1",NA,NA,NA
"16","B09SGB55N4","B09SGB55N4",NA,NA,"0","1",NA,NA,NA
"17","B00N4K5PDK","B00N4K5PDK",NA,NA,"0","1",NA,NA,NA
