"","SKU PRODOTTO","ASIN LIVE AMAZON","ASIN FORNITO TENACTA","L'ASIN LIVE SU AMAZON è UGUALE ALL'ASIN FORNITO TENACTA?","NOME PRODOTTO LIVE AMAZON","LUNGHEZZA NOME PRODOTTO LIVE SU AMAZON","NOME PRODOTTO UFFICIALE FORNITO DA TENACTA","LUNGHEZZA NOME PRODOTTO FORNITO DA TENACTA","IL NOME PRODOTTO LIVE AMAZON è UGUALE AL NOME PRODOTTO UFFICIALE TENACTA?","LA LUNGHEZZA DEL NOME PRODOTTO LIVE AMAZON è UGUALE ALLA LUNGHEZZA DEL NOME UFFICIALE TENACTA?","QUESTO ASIN RICHIEDE UNA CORREZIONE"
"1","imetec scaldasonno singolo 150x80 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","B0056BZZDA","B0056BZZDA",TRUE,"0","1","NEED FIX","NEED FIX",137,"TRUE","NEED FIX"
"2","imetec scaldasonno matrimoniale 150x160 cm, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","B0056C02MI","B0056C02MI",TRUE,"0","1","TRUE","TRUE",128,"TRUE","NEED FIX"
"3","bellissima imetec face cleansing spazzola per pulizia viso, deterge ed esfolia la pelle del viso","B009E7CBIY","B009E7CBIY",TRUE,"0","1","TRUE","TRUE",96,"TRUE","NEED FIX"
"4","imetec scaldaletto singolo, 150 x 80 cm, comando 2 temperature, tessuto trapuntato, lavabile a mano e in lavatrice a 40° c","B00A9269R2","B00A9269R2",TRUE,"0","1","NEED FIX","NEED FIX",122,"TRUE","NEED FIX"
"6","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo daria fredda","B00G3DNXIE","B00G3DNXIE",TRUE,"0","1","TRUE","TRUE",146,"TRUE","NEED FIX"
"7","imetec nuvola ferro da stiro da viaggio a vapore, piastra in acciaio inossidabile da 1000 w, custodia da viaggio, doppio voltaggio","B00GLSDCS2","B00GLSDCS2",TRUE,"0","1","TRUE","TRUE",130,"TRUE","NEED FIX"
"9","bellissima imetec kit testine di ricambio face cleansing per pelli normali e pelli sensibili, 4 diverse testine per detergere, massaggiare, levigare e idratare la pelle","B00IRAFHB2","B00IRAFHB2",TRUE,"0","1","TRUE","TRUE",168,"TRUE","NEED FIX"
"11","imetec scaldasonno sensitive singolo, si adatta ai cambi di temperatura, morbido peluche, coprimaterasso maxi 190 x 90, electro block, 6 temperature, timer, risparmio energetico, lavabile","B00M975Z7K","B00M975Z7K",TRUE,"0","1","NEED FIX","NEED FIX",187,"TRUE","NEED FIX"
"14","bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole","B00RP0J7AW","B00RP0J7AW",TRUE,"0","1","TRUE","TRUE",147,"TRUE","NEED FIX"
"20","imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per unasciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m","B015O6AFPE","B015O6AFPE",TRUE,"0","1","TRUE","TRUE",197,"TRUE","NEED FIX"
