"","SKU PRODOTTO","ASIN LIVE AMAZON","ASIN FORNITO TENACTA","L'ASIN LIVE SU AMAZON è UGUALE ALL'ASIN FORNITO TENACTA?","NOME PRODOTTO LIVE AMAZON","LUNGHEZZA NOME PRODOTTO LIVE SU AMAZON","NOME PRODOTTO UFFICIALE FORNITO DA TENACTA","LUNGHEZZA NOME PRODOTTO FORNITO DA TENACTA","IL NOME PRODOTTO LIVE AMAZON è UGUALE AL NOME PRODOTTO UFFICIALE TENACTA?","LA LUNGHEZZA DEL NOME PRODOTTO LIVE AMAZON è UGUALE ALLA LUNGHEZZA DEL NOME UFFICIALE TENACTA?","QUESTO ASIN RICHIEDE UNA CORREZIONE"
"1","imetec scaldasonno singolo 150x80 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","B0056BZZDA","B0056BZZDA",TRUE,"0","1","NEED FIX","NEED FIX",137,"TRUE","NEED FIX"
"2","imetec scaldasonno matrimoniale 150x160 cm, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","B0056C02MI","B0056C02MI",TRUE,"0","1","TRUE","TRUE",128,"TRUE","NEED FIX"
"5","imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico","B00FM266R2","B00FM266R2",TRUE,"0","1","TRUE","TRUE",200,"TRUE","NEED FIX"
"6","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo daria fredda","B00G3DNXIE","B00G3DNXIE",TRUE,"0","1","TRUE","TRUE",146,"TRUE","NEED FIX"
"7","imetec nuvola ferro da stiro da viaggio a vapore, piastra in acciaio inossidabile da 1000 w, custodia da viaggio, doppio voltaggio","B00GLSDCS2","B00GLSDCS2",TRUE,"0","1","TRUE","TRUE",130,"TRUE","NEED FIX"
"12","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso daria/temperatura, puntale antiscottatura","B00N4K5PDK","B00N4K5PDK",TRUE,"0","1","TRUE","TRUE",177,"TRUE","NEED FIX"
"15","bellissima imetec gt13 50 arricciacapelli, rivestimento in ceramica, 7 diversi livelli di temperatura da 150°c a 210°c, diametro di 25 mm, riscaldamento rapido, pronto alluso","B00SKVYB6K","B00SKVYB6K",TRUE,"0","1","TRUE","TRUE",174,"TRUE","NEED FIX"
"16","bellissima imetec gt15 100 arricciacapelli, ricci brillanti e definiti, diametro 19 mm, rivestimento in ceramica, riscaldamento rapido, pronto alluso","B00VRGPXF8","B00VRGPXF8",TRUE,"0","1","TRUE","TRUE",149,"TRUE","NEED FIX"
"18","bellissima imetec creativity b9 400 piastra per capelli, styling liscio o mosso, rivestimento in ceramica e cheratina, piastre arrotondate","B015O6A68K","B015O6A68K",TRUE,"0","1","TRUE","TRUE",138,"TRUE","NEED FIX"
"19","bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci","B015O6A6GM","B015O6A6GM",TRUE,"0","1","TRUE","TRUE",178,"TRUE","NEED FIX"
